GENERIC,SAMPLEID,MISSION,STATION,LANDMARK,BAGNUMBER,ORIGINALWEIGHT,SAMPLETYPE,SAMPLESUBTYPE,PRISTINITY,PRISTINITYDATE,HASTHINSECTION,HASDISPLAYSAMPLE,DISPLAYSAMPLENUMBER,GENERICDESCRIPTION
79525,1316,Apollo 17,9,,,3.03,Breccia,Regolith,92.706,2013-08-01 0:00:00,TRUE,,,"clast poor, dark matrix, fractured, unstudied"
79526,1317,Apollo 17,9,,,2.93,Breccia,Regolith,100,2007-08-01 0:00:00,FALSE,,,"clast poor, dark matrix, basalt clasts, unstudied"
79527,1318,Apollo 17,9,,,2.65,Breccia,Regolith,100,2007-08-01 0:00:00,FALSE,,,"clast poor, dark matrix, unstudied"
79528,1319,Apollo 17,9,,,2.38,Breccia,Regolith,100,2007-08-01 0:00:00,FALSE,,,"clast poor, dark matrix, unstudied"
79529,1320,Apollo 17,9,,,1.84,Breccia,Regolith,100,2007-08-01 0:00:00,FALSE,,,"clast poor, dark matrix, unstudied"
79535,1321,Apollo 17,9,,,1.69,Breccia,Regolith,100,2007-08-01 0:00:00,FALSE,,,"clast poor, dark matrix, unstudied"
79536,1322,Apollo 17,9,,,1.66,Breccia,Regolith,100,2007-08-01 0:00:00,FALSE,,,"clast poor, dark matrix, unstudied"
79537,1323,Apollo 17,9,,,1.05,Breccia,Regolith,100,2007-08-01 0:00:00,FALSE,,,"clast poor, dark matrix, unstudied"
70006,,Apollo 17,ALSEP,CAMELOT CRATER,DSB,234.2,Core,Unsieved,73.955,2014-09-01 0:00:00,TRUE,,,
70007,,Apollo 17,ALSEP,CAMELOT CRATER,DSB,179.4,Core,Unsieved,74.556,2013-09-01 0:00:00,TRUE,,,
70008,,Apollo 17,ALSEP,CAMELOT CRATER,DSB,255.8,Core,Unsieved,72.849,2014-12-01 0:00:00,TRUE,,,
70009,,Apollo 17,ALSEP,CAMELOT CRATER,DSB,143.3,Core,Unsieved,71.584,2014-09-01 0:00:00,TRUE,,,
70010,,Apollo 17,LM,,DSB,3.92,Soil,Unsieved,0,2007-08-01 0:00:00,FALSE,,,"Fines, Unsieved"
70011,,Apollo 17,LM,,SCB 5,440.7,Soil,Unsieved,83.617,2014-01-01 0:00:00,FALSE,,,"Fines, Unsieved"
70012,,Apollo 17,LM,,BSLSS,485,Core,Unsieved,100,2007-08-01 0:00:00,FALSE,,,
70017,,Apollo 17,LM,,BSLSS,2957,Basalt,Ilmenite,79.515,2015-03-01 0:00:00,TRUE,TRUE,"70,017,138","U or B, medium-grained, vesicular, hypidiomorphic granular"
70018,,Apollo 17,LM,,SRC1/SCB 1,51.58,Breccia,Fragmental,98.668,2013-08-01 0:00:00,TRUE,,,"Clast-Poor, Partially Glass-Coated"
70030,,Apollo 17,,EVA-1,SCB 2,33.92,Soil,Unsieved,0,2012-03-01 0:00:00,FALSE,,,
70035,,Apollo 17,SEP,,SCB 2,5765,Basalt,Ilmenite,78.213,2014-12-01 0:00:00,TRUE,TRUE,"70035,57; 70035,18; 70035,69; 70035,40; 70035,59","U, medium-grained, vesicular, hypidiomorphic granular"
70050,,Apollo 17,,EVA-3,BSLSS,573.4,Soil,Unsieved,87.11,2007-08-01 0:00:00,FALSE,,,
70051,,Apollo 17,,EVA-3,BSLSS,1438,Soil,<1 mm,80.453,2014-11-01 0:00:00,TRUE,TRUE,"70051,55; 70051,51",
70052,,Apollo 17,,EVA-3,BSLSS,67.76,Soil,1-2 mm,90.46,2012-03-01 0:00:00,TRUE,,,
70053,,Apollo 17,,EVA-3,BSLSS,86.93,Soil,2-4 mm,99.444,2012-03-01 0:00:00,FALSE,,,
70060,,Apollo 17,,,SCB 7/15E,0.24,Soil,Unsieved,0,2007-08-01 0:00:00,FALSE,,,
70061,,Apollo 17,,,SCB 7/15E,60.8,Soil,<1 mm,100,2007-08-01 0:00:00,FALSE,,,
70062,,Apollo 17,,,SCB 7/15E,2.12,Soil,1-2 mm,100,2007-08-01 0:00:00,FALSE,,,
70063,,Apollo 17,,,SCB 7/15E,1.24,Soil,2-4 mm,100,2007-08-01 0:00:00,FALSE,,,
70070,,Apollo 17,,,BSLSS/108,0.11,Soil,Unsieved,0,2007-08-01 0:00:00,FALSE,,,
70130,,Apollo 17,ALSEP,,SCB 2/10E,12.18,Soil,Unsieved,62.97,2007-08-01 0:00:00,FALSE,,,
70135,,Apollo 17,ALSEP,,SCB 2/10E,446.3,Basalt,Ilmenite,84.648,2014-11-01 0:00:00,TRUE,,,"A, medium-grained, vesicular, hypidiomorphic granular"
